transaction_id,user_id,product_id,rating_x,timestamp,purchase_count,amount,payment_method,delivery_status,product_name,category,price,brand,rating_y,description,discount,in_stock,name,age,gender,location,state,email,phone_number,is_festive_season
1,245,23,4,2025-09-27 19:47:43,1,9459.87,Debit Card,Shipped,OnePlus Smartphone 23,Mobile Phones,56704.73,OnePlus,4.5,Fugiat quos minima praesentium. Molestias modi laborum repudiandae reiciendis excepturi iste ab.,18,True,Divit Kibe,38,F,Pune,Uttar Pradesh,adahbuch@example.net,+916148881702,False
2,925,33,4,2025-09-10 09:28:24,3,5582.6,Cash on Delivery,Processing,Ponds Lipstick 33,Beauty,37796.32,Ponds,4.5,Eveniet doloremque dicta eius molestias.,64,True,Gatik Datta,39,F,Pallavaram,Uttar Pradesh,eshanidhingra@example.com,6681252676,False
3,406,186,4,2025-04-19 20:39:14,3,15503.98,Debit Card,Cancelled,Durian Sofa Set 186,Furniture,67579.42,Durian,3.7,Quos veniam facilis neque cum. Fugit facere earum.,3,False,Nirvaan Yogi,59,M,Sikar,Tripura,yshan@example.org,+915551411730,True
4,620,146,3,2025-03-06 11:09:01,3,8526.34,Cash on Delivery,Shipped,BPL Tablet 146,Electronics,46919.91,BPL,3.8,Neque quasi sunt amet culpa. Enim modi adipisci incidunt.,49,True,Kashvi Sehgal,18,M,Jaunpur,Madhya Pradesh,romilgera@example.net,+918360204639,False
5,111,182,2,2025-10-29 23:04:47,1,4294.1,Credit Card,Processing,Butterfly Iron 182,Home & Kitchen,9001.44,Butterfly,3.3,Animi iure praesentium culpa.,44,True,Anay Sandal,45,F,Yamunanagar,Manipur,mahika68@example.com,+919450674033,True
6,848,142,5,2025-05-30 21:39:18,2,8336.8,Net Banking,Delivered,FabIndia Jeans 142,Clothing,13406.85,FabIndia,4.7,Officia voluptatum natus minima ad tempore sed veniam. Sint sit fugit provident nihil quod in.,28,False,Pihu Khosla,18,M,Sikar,Gujarat,mcherian@example.net,6799393342,False
7,970,48,3,2025-03-22 20:51:22,3,8534.15,Net Banking,Cancelled,Usha Pressure Cooker 48,Home & Kitchen,89679.29,Usha,3.1,Perspiciatis sint magni quas voluptatum dolorum. Voluptatem odit ipsam.,41,False,Lagan Barman,29,M,Malegaon,Bihar,arhaanshan@example.org,+911526376956,False
8,458,97,1,2025-08-27 08:57:46,1,351.85,UPI,Shipped,Usha Pressure Cooker 97,Home & Kitchen,55641.41,Usha,4.3,Quisquam quibusdam possimus. Accusamus quas tempora veniam magnam.,45,True,Onkar Gaba,58,F,Begusarai,Jharkhand,diyawalla@example.com,9134526366,True
9,450,5,3,2025-04-04 05:49:55,1,9407.88,Net Banking,Shipped,Lava Laptop 5,Electronics,69209.14,Lava,4.0,Eius dolore blanditiis molestiae eius. Deleniti iste excepturi a libero consequuntur eius.,38,False,Kartik Bera,34,F,Morena,Punjab,farhan24@example.org,06991465855,True
10,481,130,3,2025-10-16 10:37:22,1,11340.44,Credit Card,Shipped,BPL Smartphone 130,Electronics,95432.32,BPL,4.4,"Molestias nesciunt libero maxime blanditiis enim expedita.
Veritatis sint laboriosam veniam.",50,True,Yuvaan Deep,52,M,Gwalior,Sikkim,yben@example.com,+912614243092,True
11,393,5,4,2025-08-01 06:16:20,2,1480.09,UPI,Delivered,Lava Laptop 5,Electronics,69209.14,Lava,4.0,Eius dolore blanditiis molestiae eius. Deleniti iste excepturi a libero consequuntur eius.,38,False,Kismat Raju,59,F,Adoni,Bihar,karpemishti@example.org,+913165930663,True
12,901,167,5,2025-04-23 13:28:31,1,18692.11,Net Banking,Processing,Morphy Richards Mixer Grinder 167,Home & Kitchen,67510.42,Morphy Richards,3.0,Doloremque laudantium ut.,7,True,Manjari Shroff,36,F,Ludhiana,Bihar,shalv24@example.com,+912415570159,True
13,199,90,3,2025-05-01 03:02:12,3,18078.15,Net Banking,Cancelled,Xiaomi Smartphone 90,Mobile Phones,22823.82,Xiaomi,3.8,Officia repellendus voluptas. Odit ex esse explicabo reiciendis. Esse dolorum accusamus inventore.,67,False,Keya Behl,20,F,Sri Ganganagar,Meghalaya,advikasathe@example.com,+916625530744,False
14,872,141,3,2025-10-28 03:33:29,3,7545.44,UPI,Shipped,Godrej Wardrobe 141,Furniture,83436.67,Godrej,3.8,Maiores impedit aspernatur sed ipsam quae. Provident expedita qui doloribus nulla nihil iure.,17,True,Jivin Sagar,42,F,Pudukkottai,Odisha,boasezaina@example.org,5608496770,True
15,266,79,4,2025-01-30 05:00:34,1,2105.44,Net Banking,Delivered,Oppo Earphones 79,Mobile Phones,45411.04,Oppo,4.0,Dolor rem magni aliquam expedita. Reiciendis a facere vitae.,19,True,Myra Gaba,34,F,Shahjahanpur,Jharkhand,sahil70@example.org,+918822148265,True
16,807,98,3,2025-09-30 14:50:55,2,3781.33,UPI,Cancelled,Havells Cookware Set 98,Home & Kitchen,58057.12,Havells,4.5,Dicta commodi illo nemo enim inventore dignissimos. Cumque a cum vel rem illo.,42,False,Manjari Som,35,M,Siwan,Arunachal Pradesh,sandaljivika@example.net,0074654442,False
17,353,84,4,2025-06-15 03:19:02,2,15535.34,Credit Card,Cancelled,Urban Ladder Sofa Set 84,Furniture,82213.8,Urban Ladder,3.5,Incidunt omnis qui blanditiis aliquid aperiam.,49,True,Jayan Rajagopal,21,F,Alappuzha,Maharashtra,vbumb@example.net,+917152933467,False
18,446,58,3,2024-12-01 11:51:39,1,2397.44,Cash on Delivery,Delivered,Haldiram Tea 58,Groceries,55316.96,Haldiram,4.4,Repudiandae non odio repellat quia minus. Officiis nihil nisi omnis sit officia.,14,True,Umang Acharya,23,M,Thrissur,Kerala,omaharaj@example.com,9586901241,False
19,828,21,1,2024-12-19 10:58:06,1,994.87,Credit Card,Processing,Motorola Tablet 21,Mobile Phones,97493.82,Motorola,3.1,Numquam labore doloribus dolorum delectus numquam.,15,False,Raunak Sankar,63,F,Thane,Manipur,chowdhurylavanya@example.org,+910612972910,False
20,411,107,3,2024-12-30 11:27:37,2,12632.75,Cash on Delivery,Processing,Cadbury Tea 107,Groceries,9171.66,Cadbury,4.5,Eligendi vero unde est. Repudiandae omnis impedit illo.,6,False,Stuvan Tripathi,44,F,Kozhikode,Rajasthan,fsrinivasan@example.org,0428797967,False
21,536,151,1,2025-11-21 08:17:05,1,19151.42,Credit Card,Cancelled,Nike Football 151,Sports,93363.17,Nike,5.0,Occaecati voluptas omnis eos. Laborum error expedita. Excepturi similique eaque.,29,True,Raghav Goswami,24,M,Erode,Karnataka,hanshsha@example.com,05460534799,True
22,691,16,3,2025-01-29 20:04:28,2,2173.4,Net Banking,Shipped,Slazenger Yoga Mat 16,Sports,8148.94,Slazenger,4.6,Suscipit ducimus cumque magnam beatae possimus eaque. Officiis ratione aspernatur ullam.,27,True,Uthkarsh Khanna,58,M,Kota,Uttar Pradesh,manikya79@example.net,+918228341522,True
23,214,35,5,2025-06-18 17:07:23,3,14767.66,Debit Card,Processing,Onida Washing Machine 35,Electronics,35196.92,Onida,3.9,Dolores error illo. Atque at similique cupiditate maiores cupiditate esse sit.,11,False,Jayesh Tailor,25,M,Tiruchirappalli,Karnataka,sanasaran@example.com,00182426044,False
24,777,19,4,2025-01-16 16:32:23,2,18709.36,Debit Card,Cancelled,Decathlon Cricket Bat 19,Sports,87021.93,Decathlon,3.4,Id itaque quidem. Blanditiis est delectus veniam optio ex. Sed molestiae aliquid modi.,38,True,Rhea Dugar,23,M,Tenali,Uttarakhand,usha@example.org,1359785183,True
25,766,46,1,2024-12-28 11:11:57,2,19492.8,Net Banking,Cancelled,GK Publications Self-help Book 46,Books,32200.49,GK Publications,3.9,Sunt maiores atque doloribus. Cumque accusamus voluptas dolores facilis accusantium reprehenderit.,14,True,Shaan Lalla,41,F,Howrah,Tamil Nadu,indranssen@example.net,4137642792,False
26,863,155,5,2025-02-24 15:58:58,2,12410.92,Cash on Delivery,Processing,Levis Dress 155,Clothing,75248.37,Levis,4.9,Dicta molestiae laboriosam cumque aliquam. Debitis perspiciatis porro numquam.,28,True,Rhea Bedi,36,M,Durgapur,Tripura,vardaniyadeep@example.org,+913852642572,False
27,879,9,3,2025-08-26 08:11:51,2,11557.18,UPI,Shipped,Lava Smart TV 9,Electronics,74754.89,Lava,3.3,Totam maxime mollitia aliquid. Voluptatibus voluptatibus amet itaque.,23,True,Umang Khare,45,F,Khora ,Gujarat,kulkarnianahita@example.net,05871309090,True
28,397,98,4,2025-04-08 16:01:41,2,6525.98,Cash on Delivery,Shipped,Havells Cookware Set 98,Home & Kitchen,58057.12,Havells,4.5,Dicta commodi illo nemo enim inventore dignissimos. Cumque a cum vel rem illo.,42,False,Siya Vasa,41,F,Madanapalle,Odisha,skakar@example.net,5006135745,True
29,299,141,2,2025-08-19 01:02:05,1,14161.62,Cash on Delivery,Cancelled,Godrej Wardrobe 141,Furniture,83436.67,Godrej,3.8,Maiores impedit aspernatur sed ipsam quae. Provident expedita qui doloribus nulla nihil iure.,17,True,Vihaan Amble,34,F,Sangli-Miraj & Kupwad,Sikkim,damini61@example.net,2447171083,True
